# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
430.1	0.67719	0.37911
430.3	0.6753	0.38042
430.4	0.67266	0.38143
430.6	0.66941	0.38211
430.8	0.66663	0.38293
431	0.66325	0.38369
431.2	0.6591	0.384
431.4	0.65458	0.38386
431.6	0.65023	0.38421
431.8	0.64522	0.38412
432	0.63973	0.3836
432.1	0.63504	0.38321
432.3	0.62998	0.38259
432.5	0.62426	0.38143
432.7	0.61822	0.37987
432.9	0.61276	0.37866
433.1	0.60656	0.37691
433.3	0.59999	0.37468
433.5	0.59404	0.37243
433.6	0.58745	0.36993
433.8	0.58026	0.36701
434	0.57278	0.36379
434.2	0.56529	0.36059
434.4	0.55718	0.3572
434.6	0.54887	0.35372
434.8	0.5413	0.35037
435	0.53328	0.34694
435.2	0.52502	0.34366
435.3	0.51691	0.34064
435.5	0.50884	0.33769
435.7	0.50029	0.33484
435.9	0.49182	0.33237
436.1	0.48416	0.33036
436.3	0.47672	0.3283
436.5	0.46923	0.32668
436.7	0.46267	0.32559
436.8	0.45572	0.32446
437	0.44789	0.32351
437.2	0.44001	0.32299
437.4	0.43274	0.32267
437.6	0.42451	0.32217
437.8	0.4163	0.322
438	0.40847	0.32217
438.2	0.40057	0.32225
438.4	0.39202	0.3223
438.5	0.38373	0.32251
438.7	0.37614	0.32289
438.9	0.36855	0.32291
439.1	0.36157	0.32309
439.3	0.35509	0.32341
439.5	0.34905	0.32343
439.7	0.34247	0.32365
439.9	0.33618	0.32406
440	0.33063	0.32453
440.2	0.32536	0.32482
440.4	0.32019	0.32539
440.6	0.31542	0.32621
440.8	0.31108	0.32684
441	0.3058	0.3277
441.2	0.30064	0.32889
441.4	0.29515	0.33024
441.6	0.28935	0.33138
441.7	0.28327	0.33294
441.9	0.27716	0.33483
442.1	0.27118	0.33666
442.3	0.26474	0.33884
442.5	0.25834	0.34144
442.7	0.25224	0.34427
442.9	0.24636	0.34672
443.1	0.24055	0.34961
443.2	0.23508	0.35281
443.4	0.2304	0.35561
443.6	0.22549	0.35888
443.8	0.22055	0.36247
444	0.21611	0.36605
444.2	0.21175	0.36911
444.4	0.20747	0.37273
444.6	0.20348	0.37673
444.8	0.20002	0.38015
444.9	0.19576	0.38409
445.1	0.19159	0.38862
445.3	0.1877	0.39343
445.5	0.1838	0.39791
445.7	0.17981	0.40321
445.9	0.17599	0.40897
446.1	0.17266	0.41438
446.3	0.16871	0.42051
446.4	0.16478	0.42711
446.6	0.16103	0.43392
446.8	0.15738	0.44013
447	0.1536	0.44704
447.2	0.14997	0.45424
447.4	0.14692	0.46097
447.6	0.14315	0.468
447.8	0.13952	0.47538
448	0.13617	0.4828
448.1	0.13307	0.48898
448.3	0.1299	0.49579
448.5	0.12698	0.50288
448.7	0.12453	0.50953
448.9	0.12157	0.51685
449.1	0.11871	0.52463
449.3	0.1161	0.53248
449.5	0.1136	0.54014
449.6	0.11102	0.54873
449.8	0.10869	0.55754
450	0.10674	0.56586
450.2	0.10454	0.57465
450.4	0.10253	0.58384
450.6	0.10079	0.59302
450.8	0.09919	0.60157
451	0.09747	0.61079
451.2	0.09593	0.61999
451.3	0.09465	0.62849
451.5	0.09314	0.63726
451.7	0.0917	0.64611
451.9	0.0904	0.65466
452.1	0.08891	0.6617
452.3	0.08761	0.66966
452.5	0.08646	0.67758
452.7	0.08554	0.68486
452.8	0.08438	0.69316
453	0.08326	0.7018
453.2	0.08225	0.71029
453.4	0.08143	0.71838
453.6	0.08039	0.72722
453.8	0.07939	0.73595
454	0.07848	0.74422
454.2	0.07759	0.7528
454.4	0.07669	0.76126
454.5	0.07582	0.76919
454.7	0.07501	0.77669
454.9	0.07405	0.7846
455.1	0.07315	0.79194
455.3	0.07236	0.7984
455.5	0.07161	0.80549
455.7	0.0708	0.81189
455.9	0.06999	0.81732
456	0.06923	0.82184
456.2	0.06833	0.82659
456.4	0.06742	0.83033
456.6	0.06656	0.83285
456.8	0.06584	0.83649
457	0.06502	0.83956
457.2	0.06423	0.8418
457.4	0.06356	0.84339
457.6	0.06289	0.84544
457.7	0.06221	0.84681
457.9	0.06156	0.84741
458.1	0.06082	0.84842
458.3	0.06004	0.84917
458.5	0.05928	0.8494
458.7	0.05865	0.84927
458.9	0.05778	0.8496
459.1	0.05687	0.84952
459.2	0.05597	0.849
459.4	0.0551	0.84884
459.6	0.05427	0.84858
459.8	0.05353	0.84798
460	0.05303	0.84738
460.2	0.05232	0.84763
460.4	0.05158	0.84704
460.6	0.05086	0.84571
460.8	0.05035	0.84509
460.9	0.04973	0.8435
461.1	0.0491	0.84094
461.3	0.0485	0.83783
461.5	0.04781	0.83528
461.7	0.04714	0.83143
461.9	0.04652	0.82651
462.1	0.04593	0.82218
462.3	0.04521	0.81648
462.4	0.04449	0.80962
462.6	0.04387	0.80218
462.8	0.04322	0.79514
463	0.04254	0.78696
463.2	0.04184	0.77796
463.4	0.04114	0.76951
463.6	0.04038	0.76024
463.8	0.03961	0.75031
464	0.03885	0.74033
464.1	0.03809	0.73187
464.3	0.0374	0.72261
464.5	0.0368	0.71309
464.7	0.03628	0.7046
464.9	0.03569	0.69447
465.1	0.03511	0.68405
465.3	0.03455	0.67397
465.5	0.03381	0.66379
465.6	0.03307	0.65324
465.8	0.03235	0.64286
466	0.03185	0.63366
466.2	0.03129	0.62341
466.4	0.03073	0.61314
466.6	0.0302	0.6034
466.8	0.02957	0.59341
467	0.02899	0.58325
467.2	0.02846	0.57348
467.3	0.02794	0.56523
467.5	0.02742	0.55589
467.7	0.02691	0.54668
467.9	0.02642	0.53805
468.1	0.02584	0.53028
468.3	0.02525	0.52207
468.5	0.02469	0.5141
468.7	0.02428	0.50724
468.8	0.02395	0.49881
469	0.02364	0.49009
469.2	0.02336	0.48151
469.4	0.02288	0.47272
469.6	0.02238	0.46341
469.8	0.02187	0.45414
470	0.02138	0.4457
470.2	0.02093	0.43648
470.4	0.02053	0.42719
470.5	0.02022	0.41822
470.7	0.01978	0.40973
470.9	0.01932	0.40051
471.1	0.01886	0.39145
471.3	0.01844	0.38319
471.5	0.01805	0.3747
471.7	0.01769	0.36639
471.9	0.01736	0.35866
472	0.01706	0.3517
472.2	0.0167	0.34421
472.4	0.01639	0.33691
472.6	0.01612	0.33058
472.8	0.01596	0.32304
473	0.01583	0.31538
473.2	0.01574	0.30797
473.4	0.01557	0.30101
473.6	0.01532	0.29316
473.7	0.01507	0.28534
473.9	0.01482	0.27805
474.1	0.01458	0.27041
474.3	0.01434	0.26272
474.5	0.01411	0.25532
474.7	0.01389	0.24825
474.9	0.01371	0.24054
475.1	0.01355	0.23312
475.2	0.01344	0.22644
475.4	0.01328	0.21936
475.6	0.01314	0.21253
475.8	0.01302	0.20624
476	0.0129	0.2009
476.2	0.01277	0.19505
476.4	0.01267	0.18971
476.6	0.01258	0.18523
476.8	0.01252	0.1798
476.9	0.01249	0.17463
477.1	0.01249	0.16993
477.3	0.01253	0.16556
477.5	0.01248	0.16094
477.7	0.01244	0.15672
477.9	0.01242	0.1531
478.1	0.01242	0.14901
478.3	0.01244	0.14512
478.4	0.01248	0.14171
478.6	0.01253	0.13889
478.8	0.01256	0.13558
479	0.0126	0.13259
479.2	0.01264	0.13006
479.4	0.01261	0.12728
479.6	0.01261	0.12478
479.8	0.01265	0.12269
480	0.01271	0.12113
480.1	0.0128	0.11917
480.3	0.0129	0.11749
480.5	0.01302	0.11618
480.7	0.01316	0.11447
480.9	0.0133	0.11287
481.1	0.01344	0.11148
481.3	0.01356	0.11031
481.5	0.01369	0.10892
481.6	0.01381	0.10761
481.8	0.01394	0.10644
482	0.01406	0.10524
482.2	0.0142	0.10389
482.4	0.01434	0.10264
482.6	0.01448	0.10163
482.8	0.0146	0.10059
483	0.0147	0.09961
483.2	0.01479	0.09874
483.3	0.01475	0.09782
483.5	0.01473	0.09683
483.7	0.01473	0.09592
483.9	0.01472	0.09515
484.1	0.01482	0.09434
484.3	0.01494	0.09357
484.5	0.01509	0.09289
484.7	0.01525	0.09204
484.8	0.01542	0.09123
485	0.01559	0.09049
485.2	0.01577	0.08995
485.4	0.01595	0.08929
485.6	0.01611	0.08867
485.8	0.01627	0.08813
486	0.01642	0.08762
486.2	0.01657	0.087
486.4	0.01671	0.08643
486.5	0.01685	0.08595
486.7	0.01698	0.08558
486.9	0.01708	0.08527
487.1	0.01717	0.08502
487.3	0.01723	0.08477
487.5	0.01725	0.08441
487.7	0.01724	0.08408
487.9	0.01718	0.08381
488	0.01723	0.08349
488.2	0.01727	0.08321
488.4	0.01732	0.08299
488.6	0.01726	0.0828
488.8	0.01718	0.08253
489	0.01716	0.08228
489.2	0.01721	0.08207
489.4	0.01731	0.0819
489.6	0.01746	0.08178
489.7	0.01765	0.08172
489.9	0.01787	0.08161
490.1	0.01812	0.0815
490.3	0.01838	0.08142
490.5	0.01865	0.08136
490.7	0.01896	0.08134
490.9	0.01927	0.08135
491.1	0.01959	0.0814
491.2	0.01989	0.0815
491.4	0.02019	0.0815
491.6	0.02046	0.0815
491.8	0.0207	0.0815
492	0.02091	0.0815
492.2	0.02108	0.0815
492.4	0.0212	0.0815
492.6	0.02127	0.0815
492.8	0.02127	0.0814
492.9	0.02121	0.08135
493.1	0.02107	0.08134
493.3	0.02098	0.08136
493.5	0.02096	0.08142
493.7	0.02096	0.0815
493.9	0.02099	0.08161
494.1	0.02102	0.08175
494.3	0.02104	0.0819
494.4	0.02106	0.08206
494.6	0.02108	0.08221
494.8	0.0211	0.08237
495	0.02111	0.08255
495.2	0.02112	0.08266
495.4	0.02115	0.08281
495.6	0.02117	0.08298
495.8	0.02118	0.08318
496	0.02114	0.08339
496.1	0.02111	0.0836
496.3	0.02108	0.08381
496.5	0.02107	0.08401
496.7	0.02105	0.08419
496.9	0.02103	0.08434
497.1	0.02099	0.08446
497.3	0.02104	0.08454
497.5	0.02104	0.08472
497.6	0.02099	0.08489
497.8	0.0209	0.08505
498	0.02081	0.08528
498.2	0.0207	0.08545
498.4	0.02058	0.08557
498.6	0.02039	0.08567
498.8	0.02012	0.0857
499	0.01989	0.08567
499.2	0.01969	0.08557
499.3	0.01957	0.08545
499.5	0.01947	0.08528
499.7	0.01938	0.08505
499.9	0.01932	0.08499
500.1	0.01926	0.08487
500.3	0.01921	0.08471
500.5	0.01916	0.08451
500.7	0.01925	0.08427
500.8	0.01932	0.08402
501	0.01938	0.08375
501.2	0.01939	0.08348
501.4	0.0194	0.08321
501.6	0.0194	0.08294
501.8	0.0194	0.08269
502	0.01926	0.08257
502.2	0.01909	0.08243
502.4	0.01889	0.08229
502.5	0.01865	0.08226
502.7	0.01839	0.08209
502.9	0.0181	0.08188
503.1	0.0178	0.08164
503.3	0.01758	0.08134
503.5	0.01743	0.08102
503.7	0.0173	0.08069
503.9	0.01718	0.08046
504	0.01702	0.08019
504.2	0.01688	0.07992
504.4	0.01675	0.07964
504.6	0.01665	0.07923
504.8	0.01655	0.0788
505	0.01648	0.07836
505.2	0.01645	0.07793
505.4	0.01632	0.07753
505.6	0.01618	0.07714
505.7	0.01605	0.07678
505.9	0.01585	0.07654
506.1	0.01568	0.07631
506.3	0.01556	0.07612
506.5	0.01548	0.07607
506.7	0.01544	0.0759
506.9	0.01544	0.07571
507.1	0.01548	0.07553
507.2	0.01556	0.07524
507.4	0.01568	0.07493
507.6	0.01585	0.0746
507.8	0.01605	0.07426
508	0.01616	0.074
508.2	0.01628	0.07374
508.4	0.01641	0.07347
508.6	0.01655	0.07313
508.8	0.01668	0.07275
508.9	0.01682	0.07234
509.1	0.01694	0.07191
509.3	0.01706	0.07156
509.5	0.01716	0.07119
509.7	0.01724	0.07081
509.9	0.01723	0.07045
510.1	0.01723	0.07008
510.3	0.01722	0.06975
510.4	0.01721	0.06946
510.6	0.01727	0.06923
510.8	0.01737	0.06899
511	0.01748	0.06876
511.2	0.01762	0.06844
