# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
574.3	0.03515	0.0922
574.4	0.03561	0.09244
574.6	0.03603	0.09271
574.8	0.0364	0.09301
575	0.03685	0.09333
575.2	0.03735	0.09365
575.4	0.03787	0.09397
575.6	0.03839	0.09428
575.8	0.03885	0.09451
576	0.03939	0.09478
576.1	0.03998	0.09505
576.3	0.04056	0.09532
576.5	0.04118	0.09558
576.7	0.04179	0.09585
576.9	0.04236	0.09609
577.1	0.04301	0.09634
577.3	0.04371	0.09655
577.5	0.04441	0.09673
577.6	0.04501	0.09688
577.8	0.04566	0.09705
578	0.04629	0.0972
578.2	0.04689	0.09735
578.4	0.04743	0.09761
578.6	0.04804	0.09788
578.8	0.04864	0.09816
579	0.0492	0.09841
579.2	0.04971	0.09866
579.3	0.05021	0.0989
579.5	0.05067	0.09912
579.7	0.05115	0.09932
579.9	0.05164	0.09949
580.1	0.05213	0.09961
580.3	0.05257	0.09959
580.5	0.05319	0.09969
580.7	0.05381	0.09982
580.8	0.05443	0.09996
581	0.05497	0.10014
581.2	0.05551	0.10034
581.4	0.05602	0.10054
581.6	0.05647	0.10073
581.8	0.05688	0.10091
582	0.05729	0.10107
582.2	0.05768	0.1012
582.4	0.05811	0.10131
582.5	0.05856	0.10146
582.7	0.05901	0.10164
582.9	0.05943	0.10184
583.1	0.0599	0.10206
583.3	0.06037	0.10228
583.5	0.06083	0.1025
583.7	0.06117	0.10274
583.9	0.06163	0.10298
584	0.06209	0.1032
584.2	0.06254	0.1034
584.4	0.06299	0.10356
584.6	0.06347	0.10369
584.8	0.06397	0.10377
585	0.06447	0.10394
585.2	0.06498	0.1041
585.4	0.06546	0.10425
585.6	0.06581	0.10439
585.7	0.06621	0.1045
585.9	0.06661	0.10458
586.1	0.06697	0.10464
586.3	0.06728	0.10466
586.5	0.06771	0.10465
586.7	0.06811	0.1046
586.9	0.06847	0.1045
587.1	0.06888	0.1045
587.2	0.06926	0.1045
587.4	0.0696	0.1045
587.6	0.06987	0.1045
587.8	0.07013	0.1045
588	0.07034	0.1045
588.2	0.0705	0.1044
588.4	0.07069	0.10435
588.6	0.07085	0.10434
588.8	0.07095	0.10436
588.9	0.071	0.10442
589.1	0.07112	0.1045
589.3	0.07122	0.10461
589.5	0.0713	0.10475
589.7	0.07124	0.10499
589.9	0.07119	0.10521
590.1	0.07113	0.1054
590.3	0.07118	0.10555
590.4	0.07128	0.10567
590.6	0.0714	0.10577
590.8	0.07155	0.10583
591	0.07172	0.10586
591.2	0.07189	0.10586
591.4	0.07208	0.10583
591.6	0.07227	0.10577
591.8	0.07245	0.10567
592	0.07263	0.10555
592.1	0.07279	0.1054
592.3	0.07294	0.10521
592.5	0.0731	0.10499
592.7	0.07325	0.10475
592.9	0.07339	0.10461
593.1	0.07342	0.1045
593.3	0.07347	0.10442
593.5	0.07352	0.10436
593.6	0.07356	0.10434
593.8	0.07359	0.10435
594	0.0736	0.1044
594.2	0.07356	0.1045
594.4	0.07365	0.1045
594.6	0.07376	0.1045
594.8	0.07388	0.1045
595	0.07403	0.1045
595.2	0.07418	0.1045
595.3	0.07435	0.1045
595.5	0.07451	0.1045
595.7	0.07468	0.1045
595.9	0.07484	0.1045
596.1	0.075	0.1045
596.3	0.07504	0.1045
596.5	0.07512	0.1045
596.7	0.07522	0.1045
596.8	0.07533	0.1045
597	0.07534	0.10452
597.2	0.0754	0.10454
597.4	0.07549	0.10454
597.6	0.07551	0.10461
597.8	0.07568	0.10463
598	0.07593	0.10462
598.2	0.07625	0.10458
598.4	0.07651	0.1045
598.5	0.07686	0.1044
598.7	0.07728	0.10428
598.9	0.07768	0.10423
599.1	0.07818	0.10413
599.3	0.07874	0.10397
599.5	0.07936	0.10377
599.7	0.07989	0.10354
599.9	0.08049	0.10328
600	0.08113	0.103
600.2	0.0817	0.10273
600.4	0.0823	0.10244
600.6	0.08292	0.10215
600.8	0.0835	0.1019
601	0.08413	0.10165
601.2	0.08477	0.10139
601.4	0.08541	0.10114
601.6	0.086	0.10092
601.7	0.08669	0.1008
601.9	0.08715	0.10066
602.1	0.08765	0.10051
602.3	0.08823	0.10018
602.5	0.08887	0.09986
602.7	0.08954	0.09955
602.9	0.0902	0.09927
603.1	0.09087	0.09894
603.2	0.09157	0.09869
603.4	0.09217	0.09853
603.6	0.09292	0.09833
603.8	0.0937	0.09818
604	0.09447	0.09808
604.2	0.09514	0.09805
604.4	0.09579	0.09816
604.6	0.0965	0.09828
604.8	0.09723	0.09841
604.9	0.0981	0.09849
605.1	0.09897	0.0986
605.3	0.09981	0.09873
605.5	0.10054	0.09914
605.7	0.10124	0.09944
605.9	0.10196	0.0996
606.1	0.10266	0.09964
606.3	0.10322	0.09958
606.4	0.10375	0.09924
606.6	0.10451	0.09877
606.8	0.10521	0.09823
607	0.10589	0.09767
607.2	0.10664	0.097
607.4	0.10741	0.09623
607.6	0.1081	0.09545
607.8	0.10892	0.09472
608	0.10974	0.09396
608.1	0.11065	0.0932
608.3	0.11145	0.09245
608.5	0.11225	0.09175
608.7	0.11302	0.09111
608.9	0.11371	0.09057
609.1	0.11458	0.08998
609.3	0.11548	0.08946
609.5	0.11637	0.08902
609.6	0.11715	0.08874
609.8	0.1179	0.08861
610	0.11856	0.08864
610.2	0.11925	0.08849
610.4	0.11999	0.08829
610.6	0.12067	0.08808
610.8	0.12126	0.08788
611	0.12172	0.0878
611.2	0.12218	0.0877
611.3	0.12261	0.0876
611.5	0.1231	0.08741
611.7	0.12371	0.08717
611.9	0.12431	0.08693
612.1	0.12487	0.08668
612.3	0.12547	0.08635
612.5	0.12602	0.08599
612.7	0.12651	0.08564
612.8	0.12694	0.08529
613	0.12731	0.08495
613.2	0.12767	0.08463
613.4	0.12797	0.08434
613.6	0.12837	0.08416
613.8	0.12876	0.08396
614	0.12912	0.08377
614.2	0.12943	0.08359
614.4	0.12978	0.08343
614.5	0.13009	0.08332
614.7	0.13034	0.08325
614.9	0.13056	0.08309
615.1	0.13071	0.08295
615.3	0.13079	0.08284
615.5	0.13077	0.08277
615.7	0.13084	0.08259
615.9	0.13095	0.08241
616	0.13109	0.08223
616.2	0.13134	0.08206
616.4	0.13157	0.0819
616.6	0.13175	0.08175
616.8	0.13189	0.08161
617	0.13199	0.0815
617.2	0.13204	0.08142
617.4	0.13204	0.08136
617.6	0.13199	0.08134
617.7	0.13201	0.08135
617.9	0.13203	0.0814
618.1	0.13204	0.0815
618.3	0.13203	0.0815
618.5	0.13201	0.0815
618.7	0.13199	0.0815
618.9	0.13204	0.0814
619.1	0.13204	0.08135
619.2	0.13199	0.08134
619.4	0.13189	0.08136
619.6	0.13175	0.08142
619.8	0.13157	0.0815
620	0.13134	0.08161
620.2	0.13109	0.08165
620.4	0.13095	0.08174
620.6	0.13084	0.08189
620.8	0.13077	0.08209
620.9	0.13059	0.08233
621.1	0.13041	0.08259
621.3	0.13023	0.08288
621.5	0.13025	0.08309
621.7	0.1302	0.08332
621.9	0.13007	0.08361
622.1	0.12989	0.08394
622.3	0.12967	0.08422
622.4	0.12948	0.08454
622.6	0.12925	0.0849
622.8	0.12897	0.08515
623	0.12866	0.08539
623.2	0.12835	0.08569
623.4	0.12813	0.08602
623.6	0.12775	0.08633
623.8	0.12775	0.0868
624	0.1273	0.08738
624.1	0.12681	0.08804
624.3	0.12628	0.0886
624.5	0.12574	0.08929
624.7	0.12522	0.09008
624.9	0.12473	0.09084
625.1	0.12424	0.09178
625.3	0.12377	0.09284
625.5	0.12344	0.09388
625.6	0.12314	0.095
625.8	0.12287	0.09619
626	0.12263	0.0974
626.2	0.12245	0.09837
626.4	0.12207	0.09953
626.6	0.12169	0.1008
626.8	0.12129	0.10202
627	0.12093	0.10337
627.2	0.12063	0.10474
627.3	0.12028	0.10589
627.5	0.12003	0.10694
627.7	0.11988	0.10803
627.9	0.11972	0.10932
628.1	0.11964	0.11065
628.3	0.1194	0.11218
628.5	0.11911	0.11391
628.7	0.1188	0.11577
628.8	0.11854	0.1173
629	0.11825	0.11926
629.2	0.11795	0.12138
629.4	0.11763	0.12335
629.6	0.11727	0.12545
629.8	0.11691	0.12778
630	0.11657	0.13026
630.2	0.11631	0.13215
630.4	0.11591	0.13444
630.5	0.11544	0.137
630.7	0.11489	0.13948
630.9	0.1143	0.14227
631.1	0.11368	0.14536
631.3	0.11305	0.14863
631.5	0.11247	0.1514
631.7	0.11193	0.15438
631.9	0.11146	0.15753
632	0.11106	0.16087
632.2	0.11077	0.16414
632.4	0.1104	0.16795
632.6	0.11005	0.17194
632.8	0.10963	0.17533
633	0.10924	0.17917
633.2	0.10888	0.18327
633.4	0.10857	0.18724
633.6	0.10822	0.19107
633.7	0.10791	0.19526
633.9	0.10766	0.19958
634.1	0.10754	0.20288
634.3	0.10744	0.20697
634.5	0.10738	0.21146
634.7	0.10737	0.21589
634.9	0.10714	0.22073
635.1	0.10689	0.22616
635.2	0.10663	0.23194
635.4	0.10637	0.23732
635.6	0.10611	0.24341
635.8	0.10586	0.24977
636	0.10563	0.25606
636.2	0.10543	0.26267
636.4	0.10526	0.26955
636.6	0.10513	0.27637
636.8	0.10506	0.28276
636.9	0.1049	0.28953
637.1	0.10475	0.29594
637.3	0.10461	0.30175
637.5	0.1045	0.30787
637.7	0.10442	0.31351
637.9	0.10436	0.31834
638.1	0.10434	0.32244
638.3	0.10435	0.32642
638.4	0.1044	0.32952
638.6	0.1045	0.33167
638.8	0.1044	0.33448
639	0.10435	0.3367
639.2	0.10434	0.3381
639.4	0.10436	0.33891
639.6	0.10432	0.34006
639.8	0.10435	0.34063
640	0.10445	0.34053
640.1	0.10458	0.34114
640.3	0.10477	0.34143
640.5	0.10502	0.34124
640.7	0.10524	0.3408
640.9	0.10542	0.34084
641.1	0.10571	0.34053
641.3	0.10609	0.33987
641.5	0.10653	0.33983
641.6	0.10701	0.33941
641.8	0.10753	0.33863
642	0.1079	0.33784
642.2	0.10827	0.33708
642.4	0.10877	0.33578
642.6	0.10938	0.33404
642.8	0.10973	0.33252
643	0.11027	0.33057
643.2	0.11096	0.32817
643.3	0.11168	0.32549
643.5	0.11242	0.32285
643.7	0.11338	0.31974
643.9	0.11449	0.3163
644.1	0.11532	0.31312
644.3	0.11652	0.3096
644.5	0.11795	0.30588
644.7	0.11957	0.30229
644.8	0.12065	0.2989
645	0.12212	0.29521
645.2	0.12388	0.2914
645.4	0.12542	0.28799
645.6	0.12722	0.28428
645.8	0.1295	0.28049
646	0.13184	0.27696
646.2	0.13306	0.27378
646.4	0.13529	0.27026
646.5	0.13831	0.26661
646.7	0.14194	0.26279
646.9	0.14625	0.25835
647.1	0.15115	0.25398
647.3	0.15646	0.24977
647.5	0.16098	0.24555
647.7	0.16634	0.2412
647.9	0.1723	0.23691
648	0.17785	0.23289
648.2	0.18411	0.2287
648.4	0.19088	0.22452
648.6	0.19779	0.22059
648.8	0.20391	0.2167
649	0.2107	0.21282
649.2	0.21782	0.20916
649.4	0.22423	0.20582
649.6	0.23114	0.20222
649.7	0.23839	0.19873
649.9	0.2456	0.19551
650.1	0.25146	0.19242
650.3	0.25822	0.18928
650.5	0.2652	0.18638
650.7	0.27191	0.18384
650.9	0.2804	0.18048
651.1	0.28943	0.17707
651.2	0.29866	0.17374
651.4	0.30676	0.17072
651.6	0.31537	0.16776
651.8	0.32397	0.1649
652	0.33164	0.16249
652.2	0.34045	0.15956
652.4	0.34931	0.15679
652.6	0.35785	0.15429
652.8	0.36572	0.15207
652.9	0.37392	0.14962
653.1	0.38187	0.14731
653.3	0.38925	0.14533
653.5	0.39708	0.14314
653.7	0.40478	0.14098
653.9	0.41201	0.13894
654.1	0.4185	0.13719
654.3	0.42549	0.1351
654.4	0.4321	0.13303
654.6	0.43793	0.13108
654.8	0.44528	0.1289
655	0.45237	0.12674
655.2	0.45893	0.12469
655.4	0.46548	0.12271
655.6	0.47192	0.12056
655.8	0.47761	0.11848
656	0.48229	0.11666
656.1	0.48775	0.11466
656.3	0.49252	0.11265
656.5	0.49642	0.11073
656.7	0.50003	0.10892
656.9	0.50338	0.10711
657.1	0.50585	0.10542
657.3	0.50727	0.10408
657.5	0.50951	0.10252
657.6	0.51111	0.10102
657.8	0.51196	0.09967
658	0.51248	0.09845
658.2	0.51336	0.09718
658.4	0.51351	0.09591
658.6	0.51287	0.09474
658.8	0.51343	0.09321
659	0.51346	0.09163
659.2	0.51296	0.09007
659.3	0.51272	0.08871
659.5	0.5124	0.08722
659.7	0.5114	0.08575
659.9	0.50985	0.08432
660.1	0.50889	0.08287
660.3	0.507	0.08146
660.5	0.5043	0.08018
660.7	0.50162	0.07901
660.8	0.4985	0.07789
661	0.49454	0.07682
661.2	0.48999	0.0758
661.4	0.4858	0.07483
661.6	0.48078	0.0739
661.8	0.47514	0.07302
662	0.46997	0.07219
662.2	0.46448	0.07141
662.4	0.45843	0.07068
662.5	0.45209	0.06999
662.7	0.446	0.06935
662.9	0.43933	
663.1	0.43251	
663.3	0.42614	
663.5	0.4198	
663.7	0.41341	
663.9	0.40725	
664	0.40128	
664.2	0.39502	
664.4	0.38905	
664.6	0.38383	
664.8	0.37812	
665	0.37258	
665.2	0.36745	
665.4	0.36272	
665.6	0.35772	
665.7	0.35298	
665.9	0.34877	
666.1	0.34438	
666.3	0.34008	
666.5	0.33609	
666.7	0.33184	
666.9	0.32728	
667.1	0.32278	
667.2	0.31863	
667.4	0.31425	
667.6	0.30986	
667.8	0.30566	
668	0.30173	
668.2	0.29728	
668.4	0.2929	
668.6	0.28878	
668.8	0.28476	
668.9	0.28078	
669.1	0.27702	
669.3	0.2736	
669.5	0.2699	
669.7	0.26635	
669.9	0.26318	
670.1	0.25975	
670.3	0.2563	
670.4	0.25302	
670.6	0.25022	
670.8	0.24684	
671	0.2435	
671.2	0.24037	
671.4	0.23731	
671.6	0.23405	
671.8	0.23088	
672	0.22801	
672.1	0.22477	
672.3	0.22156	
672.5	0.21855	
672.7	0.21564	
672.9	0.2126	
673.1	0.2097	
673.3	0.20735	
673.5	0.20461	
673.6	0.20187	
673.8	0.19927	
674	0.19691	
674.2	0.1943	
674.4	0.19167	
674.6	0.18914	
674.8	0.18625	
675	0.18337	
675.2	0.18062	
675.3	0.17812	
675.5	0.1754	
675.7	0.17268	
675.9	0.17008	
676.1	0.16717	
676.3	0.16428	
676.5	0.16152	
676.7	0.15906	
676.8	0.15643	
677	0.15389	
677.2	0.15161	
677.4	0.14936	
677.6	0.14711	
677.8	0.145	
678	0.14317	
678.2	0.14102	
678.4	0.13887	
678.5	0.13697	
678.7	0.13458	
678.9	0.13205	
679.1	0.12952	
679.3	0.12717	
679.5	0.12479	
679.7	0.12245	
679.9	0.12036	
680	0.1179	
680.2	0.11538	
680.4	0.1129	
680.6	0.1108	
680.8	0.1086	
681	0.10644	
681.2	0.10443	
681.4	0.10249	
681.6	0.10049	
681.7	0.09855	
681.9	0.09683	
682.1	0.09477	
682.3	0.09275	
682.5	0.09098	
682.7	0.0889	
682.9	0.08678	
683.1	0.08472	
683.2	0.08268	
683.4	0.08081	
683.6	0.07897	
683.8	0.07716	
684	0.07537	
684.2	0.07361	
684.4	0.07188	
684.6	0.07017	
684.8	0.06849	
684.9	0.06683	
685.1	0.0652	
685.3	0.0636	
685.5	0.06202	
685.7		
685.9		
686.1		
686.3		
686.4		
686.6		
686.8		
687		
687.2		
687.4		
687.6		
687.8		
688		
688.1		
688.3		
688.5		
688.7		
688.9		
689.1		
689.3		
689.5		
689.6		
689.8		
690		
690.2		
690.4		
690.6		
690.8		
691		
691.2		
691.3		
691.5		
691.7		
691.9		
692.1		
692.3		
692.5		
692.7		
692.8		
693		
693.2		
693.4		
693.6		
693.8		
694		
694.2		
694.4		
694.5		
694.7		
694.9		
695.1		
695.3		
695.5		
695.7		
695.9		
696		
696.2		
696.4		
696.6		
696.8		
697		
697.2		
697.4		
697.6		
697.7		
697.9		
698.1		
698.3		
698.5		
698.7		
698.9		
699.1		
699.2		
699.4		
699.6		
699.8		
700		
